date,price,soy_ret_1d,event_type,direction,primary_driver,secondary_driver,narrative_strength,speculation_level,data_confirmation,fade_risk,oil_chg7,dollar_chg7,rsi_14,vol_30d,mom_5d,mom_20d,news_sentiment,cot_noncomm_long_pct,outcome_1d_pct,outcome_7d_pct,outcome_15d_pct,outcome_30d_pct,fade_occurred_7d
2016-09-08,992.0,0.025,oil_energy,bullish,oil_energy,speculative_mom,0.618,0.96,0.0,0.311,0.0136,-0.0058,33.6,0.014,0.0333,-0.0246,0.0,0.0,0.529,-1.966,-4.209,-0.907,True
2016-09-16,966.0,1.631,macro_fx,bearish,macro_fx,oil_energy,0.562,0.793,0.0,0.104,-0.0543,0.0121,41.1,0.0126,-0.0313,-0.0642,0.0,0.0,0.673,-1.398,-0.958,3.753,True
2016-09-21,975.5,-1.44,oil_energy,bearish,oil_energy,macro_fx,0.588,0.765,0.0,0.2,-0.0205,0.0059,55.3,0.0127,0.0036,-0.0568,0.0,0.0,0.103,-2.204,-1.973,0.436,False
2016-09-22,976.5,0.103,speculative_mom,bullish,speculative_mom,oil_energy,0.375,0.917,0.0,0.2,0.0316,-0.0019,56.0,0.0127,0.0274,-0.0526,0.0,0.0,0.103,-0.358,-1.434,0.512,False
2016-09-23,955.0,-2.202,oil_energy,bullish,oil_energy,speculative_mom,0.506,0.687,0.0,0.0,0.0207,0.0016,45.8,0.0132,-0.0114,-0.0433,0.0,0.0,0.103,-0.358,2.435,0.512,False
2016-09-28,945.5,-0.735,oil_energy,bullish,oil_energy,speculative_mom,0.688,0.79,0.0,0.103,0.0866,-0.0043,35.4,0.0124,-0.0308,-0.0207,0.0,0.0,0.502,1.19,3.173,4.601,False
2016-09-29,950.25,0.502,oil_energy,bullish,oil_energy,speculative_mom,0.615,0.814,0.0,0.0,0.1011,-0.005,35.2,0.0122,-0.0269,-0.0102,0.0,0.0,0.395,0.421,3.446,2.184,False
2016-10-04,963.5,-0.976,oil_energy,bullish,oil_energy,macro_fx,0.551,0.818,0.0,0.2,0.0946,0.0067,47.3,0.0129,0.0115,-0.011,0.0,0.0,-0.701,-0.104,4.826,2.698,True
2016-10-06,958.5,0.183,oil_energy,bullish,oil_energy,macro_fx,0.724,0.796,0.0,0.2,0.1292,0.0128,47.1,0.0129,0.0087,-0.0338,0.0,0.0,-0.183,1.461,4.46,3.867,False
2016-10-11,954.25,-0.261,macro_fx,bearish,macro_fx,oil_energy,0.845,0.725,0.0,0.0,0.0619,0.0226,33.9,0.0116,-0.0193,-0.0307,0.0,0.0,-0.917,2.227,3.144,8.384,True
2016-10-12,945.5,-0.917,macro_fx,bearish,macro_fx,oil_energy,0.743,0.739,0.0,0.0,0.0402,0.0263,35.7,0.0117,-0.0187,-0.0235,0.0,0.0,1.137,3.966,3.305,10.629,False
2016-10-14,962.5,0.654,macro_fx,bearish,macro_fx,speculative_mom,0.515,0.931,0.0,0.0,0.0341,0.0198,53.8,0.0115,0.0042,0.0126,0.0,0.0,0.654,2.935,1.974,8.312,False
2016-10-17,978.25,1.636,macro_fx,bearish,macro_fx,speculative_mom,0.462,0.928,0.0,0.0,0.0022,0.0183,65.6,0.0118,0.0225,0.0127,0.0,0.0,0.654,2.935,1.124,8.312,False
2016-10-19,981.5,0.925,speculative_mom,bullish,speculative_mom,oil_energy,0.49,0.993,0.0,0.327,0.0359,0.014,67.0,0.0118,0.0381,-0.0083,0.0,0.0,-0.611,2.012,0.051,4.687,True
2016-10-24,992.0,0.916,speculative_mom,bullish,speculative_mom,macro_fx,0.586,1.0,0.0,0.0,0.0016,0.0118,59.4,0.0116,0.0141,0.0387,0.0,0.0,-0.126,-1.537,-0.252,5.746,False
2016-10-25,990.75,-0.126,speculative_mom,bullish,speculative_mom,oil_energy,0.648,1.0,0.0,0.0,-0.0077,0.0071,64.7,0.0113,0.0188,0.0481,0.0,0.0,1.943,-1.11,-0.505,3.659,True
2016-10-26,1010.0,1.943,speculative_mom,bullish,speculative_mom,oil_energy,0.728,1.0,0.0,0.106,-0.0152,0.0076,75.3,0.0114,0.029,0.0604,0.0,0.0,0.421,-2.822,-2.03,2.723,True
2016-10-27,1014.25,0.421,speculative_mom,bullish,speculative_mom,macro_fx,0.802,1.0,0.0,0.25,-0.0113,0.0101,75.9,0.0114,0.0397,0.0727,0.0,0.0,-1.282,-2.465,-2.021,1.651,False
2016-10-28,1001.25,-1.282,speculative_mom,bullish,speculative_mom,macro_fx,0.631,1.0,0.0,0.0,-0.0562,0.0049,68.7,0.0109,0.0186,0.0537,0.0,0.0,0.1,0.05,1.898,2.672,False
2016-10-31,1002.25,0.1,speculative_mom,bullish,speculative_mom,oil_energy,0.594,1.0,0.0,0.009,-0.0708,0.0013,70.4,0.0105,0.0103,0.0506,0.0,0.0,-1.796,-2.02,2.769,2.145,False
2016-11-01,984.25,-1.796,macro_fx,bullish,macro_fx,oil_energy,0.579,0.864,0.0,0.2,-0.0822,-0.0101,65.3,0.011,-0.0066,0.0116,0.0,0.0,-0.762,0.483,5.08,4.547,True
2016-11-02,976.75,-0.762,oil_energy,bearish,oil_energy,macro_fx,0.609,0.873,0.0,0.31,-0.1025,-0.0129,58.3,0.0106,-0.0329,0.0138,0.0,0.0,0.307,-0.589,7.09,6.143,True
2016-11-03,979.75,0.307,oil_energy,bearish,oil_energy,macro_fx,0.617,0.921,0.0,0.313,-0.1061,-0.0158,57.2,0.0103,-0.034,0.024,0.0,0.0,0.179,0.995,7.783,4.261,False
2016-11-04,981.5,0.179,oil_energy,bearish,oil_energy,macro_fx,0.591,0.918,0.0,0.2,-0.1039,-0.0158,51.5,0.0103,-0.0197,0.024,0.0,0.0,0.79,0.433,6.215,2.42,False
2016-11-07,989.25,0.79,oil_energy,bearish,oil_energy,macro_fx,0.541,0.964,0.0,0.2,-0.0971,-0.0112,57.7,0.0095,-0.013,0.034,0.0,0.0,1.264,0.025,4.347,1.769,True
2016-11-08,1001.75,1.264,speculative_mom,bullish,speculative_mom,oil_energy,0.555,1.0,0.0,0.0,-0.0764,-0.005,59.1,0.0095,0.0178,0.0498,0.0,0.0,-1.972,-0.799,2.795,-0.724,True
2016-11-14,971.0,-1.82,macro_fx,bearish,macro_fx,oil_energy,0.927,0.826,0.0,0.2,-0.0446,0.0278,42.2,0.0107,-0.0107,0.0088,0.0,0.0,1.905,6.514,7.904,3.682,False
2016-11-15,989.5,1.905,macro_fx,bearish,macro_fx,oil_energy,0.829,0.837,0.0,0.0,0.0258,0.0312,49.6,0.0112,0.0003,0.0115,0.0,0.0,-0.379,5.71,6.013,1.39,True
2016-11-16,985.75,-0.379,macro_fx,bearish,macro_fx,speculative_mom,0.893,0.846,0.0,0.2,0.034,0.0344,41.1,0.0107,-0.016,0.0136,0.0,0.0,0.38,7.127,4.185,1.091,False
2016-11-17,989.5,0.38,macro_fx,bearish,macro_fx,speculative_mom,0.789,0.819,0.0,0.0,0.0118,0.0318,40.9,0.0105,0.0076,0.0082,0.0,0.0,0.43,5.356,4.851,-0.278,False
2016-11-18,993.75,0.43,macro_fx,bearish,macro_fx,speculative_mom,0.832,0.869,0.0,0.0,0.0158,0.0342,47.0,0.0104,0.0048,0.0187,0.0,0.0,0.43,3.874,3.748,1.258,False
2016-11-21,1020.25,2.667,speculative_mom,bullish,speculative_mom,macro_fx,0.616,1.0,0.0,0.169,0.049,0.0259,55.9,0.0114,0.0507,0.0379,0.0,0.0,0.43,3.874,0.76,1.258,False
2016-11-22,1030.0,0.956,speculative_mom,bullish,speculative_mom,macro_fx,0.5,1.0,0.0,0.136,0.0755,0.0228,65.9,0.0114,0.0409,0.0383,0.0,0.0,0.413,-0.243,-0.607,-4.272,True
2016-11-23,1034.25,0.413,oil_energy,bullish,oil_energy,speculative_mom,0.616,1.0,0.0,0.173,0.1071,0.0159,70.5,0.0114,0.0492,0.0439,0.0,0.0,1.136,0.894,-0.508,-3.65,False
2016-11-25,1046.0,1.136,speculative_mom,bullish,speculative_mom,oil_energy,0.653,1.0,0.0,0.234,0.0055,0.013,72.2,0.0113,0.0571,0.0356,0.0,0.0,0.956,0.167,-0.884,-3.872,True
2016-11-28,1056.0,0.956,speculative_mom,bullish,speculative_mom,oil_energy,0.697,1.0,0.0,0.273,0.0331,0.0092,73.7,0.0112,0.0626,0.0412,0.0,0.0,-1.278,-0.663,-3.267,-5.019,False
2016-11-29,1042.5,-1.278,oil_energy,bearish,oil_energy,speculative_mom,0.533,0.958,0.0,0.0,-0.0042,0.0004,66.3,0.0116,0.0218,0.0412,0.0,0.0,-0.983,-1.487,-3.573,-5.019,False
2016-11-30,1032.25,-0.983,oil_energy,bullish,oil_energy,macro_fx,1.0,0.901,0.0,0.0,0.0821,0.0029,59.5,0.0115,0.0022,0.0299,0.0,0.0,-0.242,0.509,-2.47,0.993,True
2016-12-01,1029.75,-0.242,speculative_mom,bearish,speculative_mom,oil_energy,0.465,0.976,0.0,0.2,0.0752,-0.0001,66.6,0.0115,-0.0044,0.0462,0.0,0.0,-0.218,0.121,-3.423,0.993,True
2016-12-02,1027.5,-0.218,speculative_mom,bearish,speculative_mom,oil_energy,0.499,1.0,0.0,0.2,0.076,-0.0027,63.8,0.0114,-0.0177,0.052,0.0,0.0,1.557,0.049,-3.747,4.623,True
2016-12-05,1043.5,1.557,speculative_mom,bearish,speculative_mom,macro_fx,0.585,1.0,0.0,0.329,0.0799,-0.0153,76.5,0.0116,-0.0118,0.0651,0.0,0.0,0.407,-1.893,-2.755,2.563,True
2016-12-06,1047.75,0.407,speculative_mom,bullish,speculative_mom,oil_energy,0.592,1.0,0.0,0.075,0.1057,-0.0099,73.7,0.0115,0.005,0.0675,0.0,0.0,0.119,-1.79,-3.913,1.885,False
2016-12-07,1049.0,0.119,speculative_mom,bullish,speculative_mom,macro_fx,0.533,1.0,0.0,0.126,0.0571,-0.0109,76.3,0.0115,0.0162,0.0604,0.0,0.0,-2.097,-1.168,-4.361,0.834,False
2016-12-08,1027.0,-2.097,oil_energy,bullish,oil_energy,macro_fx,0.67,0.856,0.0,0.2,0.124,0.0014,63.5,0.0122,-0.0027,0.0252,0.0,0.0,1.022,-0.536,-2.97,3.067,True
2016-12-13,1028.0,-0.291,speculative_mom,bearish,speculative_mom,oil_energy,0.502,1.0,0.0,0.2,0.0252,0.0026,49.2,0.0116,-0.0188,0.0587,0.0,0.0,-0.413,-3.259,-2.383,2.067,False
2016-12-14,1023.75,-0.413,macro_fx,bearish,macro_fx,oil_energy,0.642,0.888,0.0,0.2,-0.0145,0.0186,45.6,0.0117,-0.0241,0.0346,0.0,0.0,0.513,-3.394,-3.687,2.067,True
2016-12-15,1029.0,0.513,macro_fx,bearish,macro_fx,speculative_mom,0.734,0.928,0.0,0.0,-0.0006,0.0263,42.4,0.0112,0.0019,0.0439,0.0,0.0,0.753,-3.394,-3.158,-0.437,True
2016-12-16,1036.75,0.753,macro_fx,bearish,macro_fx,speculative_mom,0.614,0.943,0.0,0.2,0.0428,0.0271,41.2,0.0111,-0.0007,0.0478,0.0,0.0,-1.471,-2.894,-3.014,0.0,False
2016-12-23,989.0,-0.553,speculative_mom,bearish,speculative_mom,oil_energy,0.449,0.966,0.0,0.225,0.0388,0.0099,26.4,0.0113,-0.0461,-0.0545,0.0,0.0,-0.553,1.466,8.696,4.852,True
2016-12-27,1014.75,2.604,oil_energy,bullish,oil_energy,speculative_mom,0.303,0.786,0.0,0.0,0.0589,-0.0011,38.0,0.0122,-0.0066,-0.0391,0.0,0.0,-0.553,1.466,5.469,4.852,True
2016-12-29,1003.25,-0.348,macro_fx,bullish,macro_fx,oil_energy,0.446,0.735,0.0,0.0,0.0317,-0.0045,40.5,0.0113,-0.0035,-0.0281,0.0,0.0,-0.673,0.224,5.432,5.083,True
2017-01-03,986.75,-0.978,macro_fx,bearish,macro_fx,oil_energy,0.526,0.787,0.0,0.0,-0.003,0.0018,32.3,0.0115,-0.0023,-0.0397,0.0,0.0,1.976,0.652,6.942,7.55,True
2017-01-05,1003.5,-0.273,macro_fx,bullish,macro_fx,speculative_mom,0.853,0.799,0.0,0.0,0.014,-0.0145,42.8,0.011,-0.0032,-0.0422,0.0,0.0,-1.744,3.602,4.559,2.89,True
2017-01-09,996.5,1.065,oil_energy,bearish,oil_energy,macro_fx,0.523,0.738,0.0,0.0,-0.0388,-0.0129,37.0,0.0114,0.0,-0.0297,0.0,0.0,0.903,7.401,2.81,2.634,False
2017-01-12,1032.0,2.891,macro_fx,bullish,macro_fx,speculative_mom,0.581,0.912,0.0,0.0,0.013,-0.018,57.8,0.0122,0.0284,0.0039,0.0,0.0,-0.249,5.459,-0.484,1.047,True
2017-01-13,1042.5,1.017,speculative_mom,bullish,speculative_mom,macro_fx,0.688,1.0,0.0,0.191,-0.0167,-0.0148,65.0,0.0122,0.0573,0.0183,0.0,0.0,-0.249,1.223,-0.624,-1.679,True
2017-01-17,1069.25,2.566,speculative_mom,bullish,speculative_mom,macro_fx,0.849,1.0,0.0,0.242,-0.0238,-0.0117,72.1,0.0131,0.073,0.0391,0.0,0.0,-0.249,1.223,-2.478,-1.679,True
2017-01-18,1075.0,0.538,speculative_mom,bullish,speculative_mom,macro_fx,0.786,1.0,0.0,0.2,-0.0539,-0.0126,68.6,0.0131,0.0691,0.0369,0.0,0.0,-0.442,-2.395,-1.512,-4.488,False
2017-01-19,1070.25,-0.442,speculative_mom,bullish,speculative_mom,macro_fx,0.747,1.0,0.0,0.201,-0.0114,-0.0077,70.0,0.0128,0.067,0.0477,0.0,0.0,-0.257,-2.395,-1.845,-4.041,False
2017-01-20,1067.5,-0.257,speculative_mom,bullish,speculative_mom,macro_fx,0.533,1.0,0.0,0.122,0.0315,-0.0124,70.4,0.0128,0.0344,0.0619,0.0,0.0,-0.913,-4.028,-0.796,-3.817,False
2017-01-24,1058.5,0.071,speculative_mom,bearish,speculative_mom,macro_fx,0.54,1.0,0.0,0.273,0.0032,-0.0099,73.6,0.0123,-0.0101,0.0644,0.0,0.0,-0.307,-2.008,-1.275,-4.487,False
2017-01-25,1055.25,-0.307,speculative_mom,bearish,speculative_mom,macro_fx,0.552,1.0,0.0,0.2,0.0073,-0.0114,68.1,0.0122,-0.0184,0.067,0.0,0.0,-0.545,-2.677,0.569,-5.212,False
2017-01-30,1022.75,-2.526,speculative_mom,bearish,speculative_mom,macro_fx,0.326,0.884,0.0,0.31,0.0245,-0.0071,59.6,0.0131,-0.0331,0.0194,0.0,0.0,-0.024,-0.619,0.342,-5.051,False
2017-01-31,1024.5,0.171,macro_fx,bullish,macro_fx,speculative_mom,0.669,0.876,0.0,0.307,0.0074,-0.0122,57.3,0.013,-0.0321,0.0281,0.0,0.0,1.196,2.538,-0.171,-2.587,False
2017-02-16,1043.75,-1.649,macro_fx,bearish,macro_fx,speculative_mom,0.552,0.746,0.0,0.0,0.0228,0.0018,48.1,0.0121,-0.0064,-0.0248,0.0,0.0,-1.078,-1.796,-4.551,-9.365,False
2017-02-21,1026.25,-0.605,macro_fx,bearish,macro_fx,speculative_mom,0.267,0.843,0.0,0.0,0.02,0.0072,50.6,0.0118,-0.0266,-0.0298,0.0,0.0,-0.341,0.049,-3.8,-8.624,True
2017-03-08,1011.0,-0.37,oil_energy,bearish,oil_energy,speculative_mom,0.8,0.861,0.0,0.036,-0.0698,0.0093,28.2,0.0102,-0.0291,-0.0304,0.0,0.0,-1.063,-1.088,-4.154,-6.355,False
2017-03-09,1000.25,-1.063,oil_energy,bearish,oil_energy,speculative_mom,0.596,0.89,0.0,0.001,-0.0876,0.0072,30.0,0.0104,-0.0258,-0.0553,0.0,0.0,-0.4,-0.075,-3.724,-4.924,True
2017-03-10,996.25,-0.4,oil_energy,bearish,oil_energy,macro_fx,0.664,0.872,0.0,0.0,-0.0992,-0.0052,32.1,0.0103,-0.0299,-0.0516,0.0,0.0,0.0,0.527,-5.044,-3.513,False
