entry_dt,exit_dt,side,entry,exit,n,exit_tag,gross_pnl,net_pnl,bars_held
2026-02-13 06:10:00+00:00,2026-02-13 06:35:00+00:00,BUY,1136.375,1134.0051,5,SL,-59.25,-66.65,5
2026-02-13 06:40:00+00:00,2026-02-13 06:50:00+00:00,BUY,1135.375,1134.6726,1,TP,-3.51,-4.99,2
2026-02-13 07:00:00+00:00,2026-02-13 07:10:00+00:00,BUY,1135.375,1132.6072,1,SL,-13.84,-15.32,2
2026-02-17 08:35:00+00:00,2026-02-17 09:35:00+00:00,BUY,1145.875,1143.375,1,TIME,-12.5,-13.98,12
2026-02-17 09:45:00+00:00,2026-02-17 10:00:00+00:00,SELL,1143.375,1147.6936,1,SL,-21.59,-23.07,3
2026-02-17 10:05:00+00:00,2026-02-17 11:05:00+00:00,SELL,1146.125,1148.125,1,TIME,-10.0,-11.48,12
2026-02-18 01:25:00+00:00,2026-02-18 02:25:00+00:00,SELL,1154.875,1155.875,1,TIME,-5.0,-6.48,12
2026-02-18 02:40:00+00:00,2026-02-18 03:40:00+00:00,SELL,1154.375,1156.125,1,TIME,-8.75,-10.23,12
2026-02-18 03:55:00+00:00,2026-02-18 05:15:00+00:00,SELL,1154.125,1156.125,1,TIME,-10.0,-11.48,12
2026-02-19 02:30:00+00:00,2026-02-19 03:20:00+00:00,BUY,1149.625,1149.7755,1,TP,0.75,-0.73,10
2026-02-19 03:25:00+00:00,2026-02-19 04:25:00+00:00,BUY,1151.625,1149.0042,1,SL,-13.1,-14.58,12
2026-02-19 04:30:00+00:00,2026-02-19 05:40:00+00:00,BUY,1150.625,1148.875,1,TIME,-8.75,-10.23,12
2026-02-20 08:10:00+00:00,2026-02-20 08:15:00+00:00,SELL,1151.875,1154.3038,1,SL,-12.14,-13.620000000000001,1
2026-02-20 08:35:00+00:00,2026-02-20 08:50:00+00:00,SELL,1152.875,1153.4175,1,TP,-2.71,-4.1899999999999995,3
2026-02-20 09:05:00+00:00,2026-02-20 09:10:00+00:00,SELL,1151.875,1154.427,1,SL,-12.76,-14.24,1
2026-02-23 01:05:00+00:00,2026-02-23 02:05:00+00:00,BUY,1149.625,1145.625,1,TIME,-20.0,-21.48,12
2026-02-23 02:15:00+00:00,2026-02-23 03:15:00+00:00,BUY,1147.125,1143.625,1,TIME,-17.5,-18.98,12
2026-02-23 03:20:00+00:00,2026-02-23 04:20:00+00:00,BUY,1145.375,1144.375,1,TIME,-5.0,-6.48,12
2026-02-24 04:15:00+00:00,2026-02-24 05:20:00+00:00,SELL,1146.375,1147.125,1,TIME,-3.75,-5.23,12
2026-02-24 05:40:00+00:00,2026-02-24 05:45:00+00:00,SELL,1144.125,1146.5276,1,SL,-12.01,-13.49,1
