Date,enso_value_now,enso_value_3m,enso_value_6m,enso_phase_3m,enso_phase_6m,trend_3m,fallback,oni_value_now,oni_seas_now,oni_year_now,enso_phase_now,history_last_12m
2026-05-03,-0.16,-0.16,-0.16,neutral,neutral,0.0,True,,,,,
2026-05-05,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-06,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-07,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-08,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-09,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-10,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-11,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-12,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
2026-05-13,,0.288,0.169,neutral,neutral,0.65,False,0.11,FMA,2026.0,neutral,"[{'seas': 'MAM', 'year': 2025, 'month': 4, 'total': 27.6, 'anom': 0.02}, {'seas': 'AMJ', 'year': 2025, 'month': 5, 'total': 27.72, 'anom': -0.02}, {'seas': 'MJJ', 'year': 2025, 'month': 6, 'total': 27.54, 'anom': -0.04}, {'seas': 'JJA', 'year': 2025, 'month': 7, 'total': 27.1, 'anom': -0.14}, {'seas': 'JAS', 'year': 2025, 'month': 8, 'total': 26.63, 'anom': -0.28}, {'seas': 'ASO', 'year': 2025, 'month': 9, 'total': 26.32, 'anom': -0.4}, {'seas': 'SON', 'year': 2025, 'month': 10, 'total': 26.16, 'anom': -0.51}, {'seas': 'OND', 'year': 2025, 'month': 11, 'total': 26.05, 'anom': -0.55}, {'seas': 'NDJ', 'year': 2025, 'month': 12, 'total': 25.97, 'anom': -0.54}, {'seas': 'DJF', 'year': 2026, 'month': 1, 'total': 26.13, 'anom': -0.37}, {'seas': 'JFM', 'year': 2026, 'month': 2, 'total': 26.58, 'anom': -0.15}, {'seas': 'FMA', 'year': 2026, 'month': 3, 'total': 27.28, 'anom': 0.11}]"
