Date,front_month,front_settle,front_volume,front_oi,next_month,next_settle,next_volume,next_oi,total_oi,n_contracts_listed,front_next_spread_cme
2026-04-26,ZS=F,1182.5,5641.0,372773.0,ZSN26.CBT,1182.5,5641.0,372773.0,969027.0,3,0.0
2026-04-27,ZS=F,1192.5,2343.0,372773.0,ZSN26.CBT,1192.5,2343.0,372773.0,969735.0,3,0.0
2026-04-28,ZS=F,1192.5,6740.0,411476.0,ZSN26.CBT,1192.5,6740.0,411476.0,1049833.0,3,0.0
2026-04-29,ZS=F,1203.75,5798.0,411525.0,ZSN26.CBT,1203.75,5798.0,411525.0,1049922.0,3,0.0
2026-04-30,ZS=F,1202.75,5085.0,425829.0,ZSN26.CBT,1203.0,5119.0,425829.0,1084281.0,3,0.25
2026-05-01,ZS=F,1201.5,93070.0,425829.0,ZSN26.CBT,1201.5,93070.0,425829.0,1084184.0,3,0.0
2026-05-02,ZS=F,1187.75,3372.0,425829.0,ZSN26.CBT,1203.25,108961.0,425829.0,1084184.0,3,15.5
2026-05-03,ZS=F,1208.75,6579.0,425829.0,ZSN26.CBT,1208.75,6579.0,425829.0,1084184.0,3,0.0
2026-05-04,ZS=F,1222.75,2247.0,429739.0,ZSN26.CBT,1222.75,2247.0,429739.0,1095781.0,3,0.0
2026-05-05,ZS=F,1213.0,2951.0,446473.0,ZSN26.CBT,1213.0,2964.0,446473.0,1138721.0,3,0.0
2026-05-06,ZS=F,1196.25,3175.0,448577.0,ZSN26.CBT,1196.25,3175.0,448577.0,1144998.0,3,0.0
2026-05-07,ZS=F,1193.0,1867.0,435864.0,ZSN26.CBT,1193.0,1867.0,435864.0,1123999.0,3,0.0
2026-05-08,ZS=F,1206.25,101096.0,433568.0,ZSN26.CBT,1206.25,101096.0,433568.0,1121954.0,3,0.0
2026-05-09,ZS=F,1194.25,276.0,433568.0,ZSN26.CBT,1208.0,135571.0,433568.0,1121954.0,3,13.75
2026-05-10,ZS=F,1215.0,10940.0,433568.0,ZSN26.CBT,1215.0,10940.0,433568.0,1121954.0,3,0.0
2026-05-11,ZS=F,1215.25,3890.0,437974.0,ZSN26.CBT,1215.25,3890.0,437974.0,1132989.0,3,0.0
2026-05-12,ZS=F,1228.5,5142.0,437299.0,ZSN26.CBT,1228.5,5142.0,437299.0,1136800.0,3,0.0
2026-05-13,ZS=F,1224.25,9043.0,440101.0,ZSN26.CBT,1224.25,9043.0,440101.0,1150392.0,3,0.0
2026-05-14,ZS=F,1197.25,16079.0,430599.0,ZSN26.CBT,1197.25,16079.0,430599.0,1136546.0,3,0.0
2026-05-15,ZS=F,1177.25,162944.0,430593.0,ZSN26.CBT,1177.25,162944.0,430593.0,1136514.0,3,0.0
2026-05-16,ZS=F,1177.0,274891.0,430593.0,ZSN26.CBT,1177.0,274891.0,430593.0,1136514.0,3,0.0
2026-05-17,ZS=F,1177.0,162944.0,430593.0,ZSN26.CBT,1177.0,162944.0,430593.0,1136514.0,3,0.0
2026-05-18,ZS=F,1215.5,134069.0,428201.0,ZSN26.CBT,1215.5,134069.0,428201.0,1130689.0,3,0.0
2026-05-19,ZS=F,1210.5,67423.0,420298.0,ZSN26.CBT,1210.5,67423.0,420298.0,1123157.0,3,0.0
2026-05-20,ZS=F,1200.0,71138.0,420316.0,ZSN26.CBT,1200.0,71138.0,420316.0,1131174.0,3,0.0
2026-05-21,ZS=F,1197.0,58876.0,412793.0,ZSN26.CBT,1197.0,58876.0,412793.0,1119914.0,3,0.0
2026-05-22,ZS=F,1196.25,42257.0,415798.0,ZSN26.CBT,1196.25,42257.0,415798.0,1125397.0,3,0.0
2026-05-24,ZS=F,1196.5,67289.0,415798.0,ZSN26.CBT,1196.5,67289.0,415798.0,1125397.0,3,0.0
2026-06-05,ZS=F,1122.25,89165.0,372177.0,ZSN26.CBT,1122.25,89165.0,372177.0,1058936.0,3,0.0
2026-06-08,ZS=F,1115.5,96692.0,350771.0,ZSN26.CBT,1115.5,96692.0,350771.0,1016124.0,3,0.0
2026-06-09,ZS=F,1113.25,79841.0,330741.0,ZSN26.CBT,1113.25,79841.0,330741.0,994626.0,3,0.0
2026-06-10,ZS=F,1126.0,99647.0,309770.0,ZSN26.CBT,1126.0,99647.0,309770.0,967979.0,3,0.0
2026-06-11,ZS=F,1110.25,83301.0,290047.0,ZSN26.CBT,1110.25,83301.0,290047.0,939490.0,3,0.0
2026-06-12,ZS=F,1117.25,49669.0,266380.0,ZSN26.CBT,1117.25,49669.0,266380.0,912908.0,3,0.0
2026-06-15,ZS=F,1133.5,83126.0,253716.0,ZSN26.CBT,1118.0,83047.0,253716.0,891667.0,3,-15.5
