Date,front_price_usc,next_price_usc,front_next_spread,front_next_spread_pct,roll_yield_annual,days_between,structure
2026-04-25,1163.75,1178.5,14.75,0.01267,-0.07584,61,CONTANGO
2026-04-26,1167.25,1182.75,15.5,0.01328,-0.07946,61,CONTANGO
2026-04-27,1177.75,1192.5,14.75,0.01252,-0.07494,61,CONTANGO
2026-04-28,1176.25,1192.5,16.25,0.01382,-0.08266,61,CONTANGO
2026-04-29,1189.0,1204.0,15.0,0.01262,-0.07549,61,CONTANGO
2026-04-30,1185.75,1202.75,17.0,0.01434,-0.08579,61,CONTANGO
2026-05-01,1201.5,1196.0,-5.5,-0.00458,0.0539,31,FLAT
2026-05-02,1203.25,1197.25,-6.0,-0.00499,0.05871,31,FLAT
2026-05-03,1208.75,1202.0,-6.75,-0.00558,0.06575,31,BACKWARDATION
2026-05-04,1222.75,1215.25,-7.5,-0.00613,0.07222,31,BACKWARDATION
2026-05-05,1213.75,1207.0,-6.75,-0.00556,0.06548,31,BACKWARDATION
2026-05-06,1196.25,1190.0,-6.25,-0.00522,0.06152,31,BACKWARDATION
2026-05-07,1193.0,1187.75,-5.25,-0.0044,0.05181,31,FLAT
2026-05-08,1206.25,1201.0,-5.25,-0.00435,0.05125,31,FLAT
2026-05-09,1208.0,1202.75,-5.25,-0.00435,0.05117,31,FLAT
2026-05-10,1215.0,1209.75,-5.25,-0.00432,0.05088,31,FLAT
2026-05-11,1215.25,1210.25,-5.0,-0.00411,0.04844,31,FLAT
2026-05-12,1228.5,1223.75,-4.75,-0.00387,0.04552,31,FLAT
2026-05-13,1224.25,1219.5,-4.75,-0.00388,0.04568,31,FLAT
2026-05-14,1197.25,1194.25,-3.0,-0.00251,0.0295,31,FLAT
2026-05-15,1177.25,1176.75,-0.5,-0.00042,0.005,31,FLAT
2026-05-16,1177.0,1176.5,-0.5,-0.00042,0.005,31,FLAT
2026-05-17,1177.0,1176.5,-0.5,-0.00042,0.005,31,FLAT
2026-05-18,1215.5,1214.25,-1.25,-0.00103,0.01211,31,FLAT
2026-05-19,1210.5,1210.5,0.0,0.0,-0.0,31,FLAT
2026-05-20,1200.0,1199.75,-0.25,-0.00021,0.00245,31,FLAT
2026-05-21,1197.0,1196.5,-0.5,-0.00042,0.00492,31,FLAT
2026-05-22,1196.25,1195.75,-0.5,-0.00042,0.00492,31,FLAT
2026-05-24,1196.5,1195.0,-1.5,-0.00125,0.01476,31,FLAT
2026-06-05,1122.0,1126.0,4.0,0.00357,-0.04198,31,FLAT
2026-06-08,1115.5,1120.5,5.0,0.00448,-0.05278,31,FLAT
2026-06-09,1113.25,1118.5,5.25,0.00472,-0.05553,31,FLAT
2026-06-10,1125.75,1130.5,4.75,0.00422,-0.04968,31,FLAT
2026-06-11,1110.25,1116.0,5.75,0.00518,-0.06098,31,CONTANGO
2026-06-12,1117.25,1122.5,5.25,0.0047,-0.05533,31,FLAT
2026-06-15,1118.0,1122.25,4.25,0.0038,-0.04476,31,FLAT
2026-06-16,1130.25,1134.5,4.25,0.00376,-0.04427,31,FLAT
2026-06-17,1135.75,1140.0,4.25,0.00374,-0.04406,31,FLAT
2026-06-18,1121.0,1126.5,5.5,0.00491,-0.05777,31,FLAT
2026-06-19,1122.75,1128.25,5.5,0.0049,-0.05768,31,FLAT
2026-06-22,1116.25,1123.25,7.0,0.00627,-0.07384,31,CONTANGO
2026-06-23,1118.5,1125.25,6.75,0.00603,-0.07106,31,CONTANGO
2026-06-24,1114.0,1121.75,7.75,0.00696,-0.08191,31,CONTANGO
2026-06-25,1123.0,1132.0,9.0,0.00801,-0.09436,31,CONTANGO
2026-06-26,1125.25,1135.25,10.0,0.00889,-0.10464,31,CONTANGO
2026-06-29,1108.5,1118.75,10.25,0.00925,-0.10887,31,CONTANGO
2026-06-30,1125.25,1131.25,6.0,0.00533,-0.06278,31,CONTANGO
2026-07-01,1131.5,1135.0,3.5,0.00309,-0.03642,31,FLAT
2026-07-02,1135.25,1136.5,1.25,0.0011,-0.01296,31,FLAT
2026-07-03,1136.25,1136.0,-0.25,-0.00022,0.00259,31,FLAT
2026-07-06,1178.75,1177.25,-1.5,-0.00127,0.01498,31,FLAT
2026-07-07,1188.0,1182.25,-5.75,-0.00484,0.05699,31,FLAT
2026-07-08,1196.0,1188.0,-8.0,-0.00669,0.07876,31,BACKWARDATION
2026-07-09,1185.25,1177.0,-8.25,-0.00696,0.08195,31,BACKWARDATION
2026-07-10,1188.25,1180.0,-8.25,-0.00694,0.08175,31,BACKWARDATION
2026-07-13,1202.25,1192.0,-10.25,-0.00853,0.10038,31,BACKWARDATION
2026-07-14,1190.5,1179.75,-10.75,-0.00903,0.10632,31,BACKWARDATION
2026-07-15,1204.5,1193.75,-10.75,-0.00892,0.10508,31,BACKWARDATION
2026-07-16,1198.75,1189.0,-9.75,-0.00813,0.09577,31,BACKWARDATION
2026-07-17,1201.25,1191.75,-9.5,-0.00791,0.09312,31,BACKWARDATION
2026-07-20,1228.5,1217.5,-11.0,-0.00895,0.10543,31,BACKWARDATION
2026-07-21,1211.75,1205.5,-6.25,-0.00516,0.06073,31,BACKWARDATION
2026-07-22,1231.5,1223.25,-8.25,-0.0067,0.07888,31,BACKWARDATION
2026-07-23,1234.25,1229.5,-4.75,-0.00385,0.04531,31,FLAT
2026-07-24,1241.75,1233.25,-8.5,-0.00685,0.0806,31,BACKWARDATION
2026-07-27,1211.0,1202.0,-9.0,-0.00743,0.0875,31,BACKWARDATION
2026-07-28,1215.5,1208.5,-7.0,-0.00576,0.06781,31,BACKWARDATION
2026-07-29,1184.25,1178.25,-6.0,-0.00507,0.05965,31,BACKWARDATION
2026-07-30,1176.0,1174.5,-1.5,-0.00128,0.01502,31,FLAT
2026-07-31,1177.5,1172.0,-5.5,-0.00467,0.055,31,FLAT
2026-08-03,1172.75,1190.25,17.5,0.01492,-0.08929,61,CONTANGO
2026-08-04,1153.25,1171.5,18.25,0.01582,-0.09469,61,CONTANGO
2026-08-05,1152.5,1171.0,18.5,0.01605,-0.09605,61,CONTANGO
2026-08-07,1162.0,1179.75,17.75,0.01528,-0.0914,61,CONTANGO
2026-08-10,1161.5,1178.5,17.0,0.01464,-0.08758,61,CONTANGO
2026-08-11,1154.0,1171.0,17.0,0.01473,-0.08815,61,CONTANGO
2026-08-12,1157.25,1174.0,16.75,0.01447,-0.08661,61,CONTANGO
2026-08-13,1165.0,1182.5,17.5,0.01502,-0.08988,61,CONTANGO
2026-08-14,1172.5,1187.0,14.5,0.01237,-0.074,61,CONTANGO
2026-08-17,1189.0,1204.0,15.0,0.01262,-0.07549,61,CONTANGO
