Date,brazil_conab_NewsIndex,brazil_conab_NewsCount,china_demand_NewsIndex,china_demand_NewsCount,energy_fuels_NewsIndex,energy_fuels_NewsCount,logistics_bdi_NewsIndex,logistics_bdi_NewsCount,usd_dxy_NewsIndex,usd_dxy_NewsCount,usda_wasde_NewsIndex,usda_wasde_NewsCount
2008-07-01,,,,,,,0.0,1.0,,,,
2012-03-01,,,,,,,0.0,1.0,,,,
2012-07-01,,,,,,,0.0,1.0,,,,
2012-11-01,,,,,,,0.0,1.0,,,,
2013-06-01,,,,,,,0.0,1.0,,,,
2018-07-01,,,,,,,0.0,2.0,,,,
2018-08-01,0.0,1.0,0.0,1.0,,,,,,,,
2018-11-01,-0.296,1.0,,,,,,,,,,
2019-01-01,,,,,,,0.0,1.0,,,,
2020-07-01,0.0,1.0,0.0,1.0,,,,,,,,
2021-01-01,,,,,,,,,,,-0.275,1.0
2021-03-01,,,,,,,,,,,0.0,1.0
2021-10-01,,,,,,,0.0,1.0,,,,
2022-01-01,0.0,1.0,,,,,0.0,1.0,,,,
2022-03-01,,,,,,,0.0,1.0,,,,
2022-06-01,0.0,1.0,,,,,,,,,,
2022-09-01,0.0,1.0,,,,,,,,,,
2022-12-01,0.0,3.0,,,,,,,,,,
2023-02-01,0.0,1.0,,,,,,,,,,
2023-03-01,0.0,1.0,,,,,,,,,,
2023-04-01,0.0,2.0,,,,,,,,,,
2023-08-01,0.0,2.0,,,,,,,,,,
2023-09-01,0.0,1.0,,,,,,,,,,
2023-10-01,0.0,1.0,,,,,,,,,,
2024-01-01,0.0,2.0,,,,,,,,,,
2024-03-01,0.0,2.0,,,,,,,,,,
2024-07-01,0.0,3.0,0.0,3.0,,,,,,,,
2024-08-01,-0.6249,1.0,-0.6249,1.0,,,,,,,,
2024-09-01,0.0,1.0,0.0,1.0,,,,,,,,
2024-10-01,0.0,2.0,,,,,,,,,,
2024-11-01,0.0,1.0,0.0,1.0,,,,,,,,
2024-12-01,0.21483,3.0,,,,,,,,,,
2025-01-01,0.0,5.0,,,,,,,,,,
2025-02-01,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,
2025-03-01,0.0,3.0,0.0,1.0,,,,,0.0,5.0,,
2025-04-01,0.29295,2.0,0.29295,2.0,,,0.0,1.0,-0.07718727272727273,14.0,,
2025-05-01,0.0,2.0,0.0,2.0,,,,,-0.063225,7.0,,
2025-06-01,-0.10076666666666667,6.0,-0.10076666666666667,6.0,,,,,0.0,11.0,,
2025-07-01,,,0.18207,1.0,,,,,-0.020505000000000006,24.0,0.0,2.0
2025-08-01,0.0,6.0,0.10275428571428571,7.0,-0.12856799999999996,6.0,,,0.02785090909090909,31.0,,
2025-09-01,-0.09726333333333333,11.0,0.0,2.0,0.5823999999999999,3.0,0.0,1.0,0.05111217391304348,29.0,-0.5793699999999999,1.0
