Date,gdelt_tone
2021-01-07,-0.2486
2021-01-08,-0.2683
2021-01-09,-0.2916
2021-01-10,-0.2454
2021-01-11,-0.2719
2021-01-12,-0.3168
2021-01-13,-0.2988
2021-01-14,-0.247
2021-01-15,-0.1711
2021-01-16,-0.1028
2021-01-17,-0.1967
2021-01-18,-0.2229
2021-01-19,-0.1857
2021-01-20,-0.1207
2021-01-21,-0.1066
2021-01-22,-0.1695
2021-01-23,-0.2008
2021-01-24,-0.2374
2021-01-25,-0.2795
2021-01-26,-0.4357
2021-01-27,-0.4988
2021-01-28,-0.5331
2021-01-29,-0.5177
2021-01-30,-0.4596
2021-01-31,-0.4065
2021-02-01,-0.4563
2021-02-02,-0.3942
2021-02-03,-0.411
2021-02-04,-0.3536
2021-02-05,-0.3532
2021-02-06,-0.4204
2021-02-07,-0.432
2021-02-08,-0.3419
2021-02-09,-0.2725
2021-02-10,-0.2158
2021-02-11,-0.2208
2021-02-12,-0.1637
2021-02-13,-0.1868
2021-02-14,-0.2629
2021-02-15,-0.2765
2021-02-16,-0.3224
2021-02-17,-0.2479
2021-02-18,-0.2761
2021-02-19,-0.3003
2021-02-20,-0.2033
2021-02-21,0.0213
2021-02-22,0.2343
2021-02-23,0.3313
2021-02-24,0.3167
2021-02-25,0.3896
2021-02-26,0.3705
2021-02-27,0.2965
2021-02-28,0.0897
2021-03-01,-0.1248
2021-03-02,-0.1852
2021-03-03,-0.3069
2021-03-04,-0.3885
2021-03-05,-0.4024
2021-03-06,-0.2926
2021-03-07,-0.2046
2021-03-08,-0.1839
2021-03-09,-0.1203
2021-03-10,-0.0014
2021-03-11,0.032
2021-03-12,-0.031
2021-03-13,-0.1536
2021-03-14,-0.2322
2021-03-15,-0.263
2021-03-16,-0.2757
2021-03-17,-0.3337
2021-03-18,-0.4123
2021-03-19,-0.3722
2021-03-20,-0.2901
2021-03-21,-0.3344
2021-03-22,-0.3352
2021-03-23,-0.3237
2021-03-24,-0.2592
2021-03-25,-0.1949
2021-03-26,-0.1531
2021-03-27,-0.2352
2021-03-28,-0.1967
2021-03-29,-0.2011
2021-03-30,-0.2696
2021-03-31,-0.3987
