Date,intel_composite,intel_n_articles,intel_n_high_impact,news_biofuels_count,news_biofuels_signal,news_china_demand_count,news_china_demand_signal,news_geopolitics_count,news_geopolitics_signal,news_logistics_count,news_logistics_signal,news_macro_oil_count,news_macro_oil_signal,news_macro_usd_count,news_macro_usd_signal,news_policy_ar_count,news_policy_ar_signal,news_policy_br_count,news_policy_br_signal,news_policy_us_count,news_policy_us_signal,news_supply_global_count,news_supply_global_signal,news_usda_report_count,news_usda_report_signal,news_weather_ar_count,news_weather_ar_signal,news_weather_br_count,news_weather_br_signal,news_weather_us_count,news_weather_us_signal
2026-04-25,0.0456,21,0,0,0.0,0,0.0,0,0.0,1,-0.09,0,0.0,2,0.027,2,-0.055,0,0.0,1,-0.09,1,-0.11,0,0.0,0,0.0,0,0.0,0,0.0
2026-04-26,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-04-27,0.0766,24,0,3,0.0903,0,0.0,0,0.0,1,-0.09,0,0.0,2,0.063,3,-0.0183,0,0.0,1,-0.09,1,-0.11,0,0.0,0,0.0,0,0.0,0,0.0
2026-04-28,0.0907,23,0,1,0.0,0,0.0,2,0.2703,2,-0.045,1,0.3456,1,-0.09,3,-0.0367,1,0.195,2,0.0525,3,0.0283,1,0.3456,0,0.0,0,0.0,0,0.0
2026-04-29,0.1042,22,0,1,0.0,0,0.0,1,0.3456,2,0.015,1,0.3456,2,0.075,3,0.022,0,0.0,2,0.015,3,0.0595,2,0.2291,0,0.0,0,0.0,1,-0.11
2026-04-30,0.1011,25,1,1,0.0,0,0.0,2,0.4448,2,0.015,1,0.3456,1,-0.09,2,-0.055,1,0.055,2,0.015,4,0.1504,2,0.2291,1,0.544,1,0.544,2,0.217
2026-05-01,0.1139,17,1,1,0.0,0,0.0,2,0.4448,0,0.0,1,0.3456,0,0.0,3,-0.0733,0,0.0,0,0.0,3,0.108,1,0.3456,1,0.544,1,0.544,1,0.544
2026-05-02,0.1145,19,1,1,0.0,0,0.0,2,0.4448,0,0.0,2,0.1188,0,0.0,2,-0.055,0,0.0,0,0.0,2,0.217,1,0.3456,2,0.218,2,0.218,2,0.218
2026-05-03,0.1103,22,1,1,0.0,0,0.0,2,0.4448,0,0.0,2,0.1188,0,0.0,2,-0.055,0,0.0,0,0.0,2,0.217,1,0.3456,2,0.218,2,0.218,2,0.218
2026-05-04,0.0595,25,1,1,0.0,0,0.0,2,0.4448,4,0.0055,2,0.0603,2,-0.0165,4,-0.0138,1,0.055,2,-0.1125,5,0.0812,3,0.0402,1,0.544,2,0.217,2,0.217
2026-05-05,0.0513,18,1,2,0.1125,1,0.225,2,0.4448,0,0.0,1,0.3456,2,0.0085,2,-0.055,1,-0.208,0,0.0,3,0.0407,1,0.3456,1,0.544,2,0.116,2,0.272
2026-05-06,0.0303,21,1,2,0.1125,1,0.225,2,0.4448,0,0.0,2,0.0428,0,0.0,2,-0.045,1,0.065,2,0.1125,3,-0.0187,2,0.1728,1,0.544,1,0.544,1,0.544
2026-05-07,-0.0201,20,0,2,0.1125,1,0.225,1,0.3456,0,0.0,2,0.0428,0,0.0,2,-0.045,1,0.065,2,0.1125,2,-0.3,2,0.1728,0,0.0,0,0.0,0,0.0
2026-05-08,0.0142,16,1,2,0.1125,1,0.225,2,0.0628,0,0.0,1,0.3456,1,-0.22,2,-0.045,0,0.0,1,0.225,3,-0.094,2,0.0228,0,0.0,0,0.0,1,0.108
2026-05-09,0.0009,21,1,2,0.1125,2,0.0575,2,0.0628,0,0.0,1,0.3456,1,-0.22,3,-0.0667,0,0.0,1,0.225,4,-0.098,2,0.0228,0,0.0,0,0.0,1,0.108
2026-05-10,0.0134,18,1,2,0.1125,2,0.0575,2,0.0628,0,0.0,1,0.3456,1,-0.22,2,-0.045,0,0.0,1,0.225,3,-0.094,2,0.0228,0,0.0,0,0.0,1,0.108
2026-05-11,0.0488,22,1,3,0.0,4,0.0168,4,0.1534,0,0.0,1,0.3456,2,-0.022,2,-0.045,0,0.0,1,0.225,4,0.0012,2,0.5128,0,0.0,1,-0.225,0,0.0
