Date,news_sentiment,news_volume,china_score,weather_score,macro_score
2026-04-18,-0.1851,50,-0.2428,-0.5859,0.205
2026-04-19,-0.8096,50,-0.259,-0.5859,0.0644
2026-04-20,0.525,50,0.4422,-0.1152,0.0698
2026-04-21,0.5061,50,-0.0289,0.1122,0.0134
2026-04-22,0.7766,50,0.1372,0.1363,0.0731
2026-04-23,0.7523,50,-0.179,0.8098,0.1685
2026-04-24,0.0951,50,-0.1796,0.449,-0.0272
2026-04-25,-0.152,20,-0.1534,0.3817,-0.1237
2026-04-26,-0.152,20,-0.1534,0.3817,-0.1237
2026-04-27,-0.5031,24,-0.2685,-0.0685,-0.0605
2026-04-28,-0.6739,20,0.0,-0.0516,-0.1813
2026-04-29,-0.0918,22,0.3687,0.3779,-0.0253
2026-04-30,-0.0816,24,0.4608,-0.1998,-0.132
2026-05-01,-0.6788,17,-0.3982,-0.0128,0.0023
2026-05-02,-0.6923,20,0.0,0.026,-0.071
2026-05-03,-0.6923,23,0.0,-0.0484,-0.085
2026-05-04,-0.7166,23,0.2091,-0.5505,0.0076
2026-05-05,-0.6923,18,0.2516,-0.1001,-0.0867
2026-05-06,-0.2476,20,0.0999,-0.2239,-0.1054
2026-05-07,-0.2386,21,0.1224,-0.0636,-0.06
2026-05-08,-0.2476,16,-0.035,0.3699,-0.1451
2026-05-09,-0.2476,21,-0.0424,0.249,-0.2344
2026-05-10,-0.2476,19,-0.1642,0.249,-0.1888
2026-05-11,0.0349,22,0.1561,0.1223,-0.1291
2026-05-17,-0.8324,25,0.0101,-0.3572,-0.1812
