id,signal,entry_date,entry_price,stop_loss,take_profit,atr,n_contracts,capital_at_entry,risk_usd,status,exit_date,exit_price,pnl_usc_bu,pnl_usd,pnl_pct,hit
4826c57c,SELL,2026-04-19 00:00:00,1167.25,1187.95,1132.75,13.8,1,10000.0,1035.03,closed_sl,2026-04-21 00:00:00,1190.5,-23.25,-1162.5,-11.62,False
9970ee7c,BUY,2026-04-20,1166.5,1146.23,1200.29,13.52,1,10000.0,1013.68,closed_tp,2026-05-01 00:00:00,1201.5,35.0,1750.0,17.5,True
1e88146d,BUY,2026-04-21,1166.5,1146.23,1200.29,13.52,1,10000.0,1013.68,closed_tp,2026-05-01 00:00:00,1201.5,35.0,1750.0,17.5,True
55c046bc,BUY,2026-04-22,1190.5,1166.79,1230.02,15.81,1,10000.0,1185.48,closed_sl,2026-04-23 00:00:00,1164.5,-26.0,-1300.0,-13.0,False
d70f8226,SELL,2026-04-24,1174.75,1196.11,1139.15,14.24,1,10000.0,1068.02,closed_sl,2026-04-29 00:00:00,1197.75,-23.0,-1150.0,-11.5,False
fb360b3d,SELL,2026-04-25,1176.75,1199.05,1139.58,14.87,1,10000.0,1115.22,closed_sl,2026-05-01 00:00:00,1201.5,-24.75,-1237.5,-12.38,False
ac61a53e,BUY,2026-04-25,1176.75,1154.45,1213.92,14.87,1,10000.0,1115.22,closed_tp,2026-05-05 00:00:00,1218.0,41.25,2062.5,20.62,True
cc4b673d,SELL,2026-04-25,1176.75,1199.05,1139.58,14.87,1,10000.0,1115.22,closed_sl,2026-05-01 00:00:00,1201.5,-24.75,-1237.5,-12.38,False
129076cf,SELL,2026-05-05,1218.0,1240.7,1180.16,15.14,1,10000.0,1135.16,closed_tp,2026-05-07 00:00:00,1179.0,39.0,1950.0,19.5,True
a88c2034,SELL,2026-05-18,1177.0,1206.99,1127.02,19.99,1,10000.0,1499.49,closed_sl,2026-05-19 00:00:00,1213.0,-36.5,-1830.0,-18.3,False
628fe5d0,SELL,2026-05-19,1210.5,1242.52,1157.13,21.35,1,10000.0,1600.95,closed_tp,2026-06-05 00:00:00,1154.0,56.0,2795.0,27.95,True
bb366e4d,SELL,2026-06-05,1128.0,1155.11,1082.81,18.08,1,10000.0,1355.68,closed_timeout,2026-06-22 00:00:00,1142.0,-14.5,-730.0,-7.3,False
dac82f4c,SELL,2026-06-22,1142.0,1169.82,1095.64,18.55,1,10000.0,1390.91,closed_sl,2026-07-06 00:00:00,1189.75,-48.25,-2417.5,-24.18,False
d940bbb7,BUY,2026-07-06,1189.75,1154.41,1248.65,23.56,1,10000.0,1766.94,closed_timeout,2026-07-20 00:00:00,1228.0,37.75,1882.5,18.82,True
b510e92a,BUY,2026-07-24,1246.75,1219.8,1291.66,17.96,1,10000.0,1347.34,closed_sl,2026-07-27 00:00:00,1215.5,-31.75,-1592.5,-15.93,False
dc181865,BUY,2026-07-28,1215.5,1184.26,1267.57,20.83,1,10000.0,1562.03,open,,,,,,
