Date,Soybeans,Soybeans_Open,Soybeans_High,Soybeans_Low,Maize,Wheat,Oil,Dollar,SoybeanMeal,SoybeanOil
2016-09-02,968.5,960.0,971.0,960.0,316.5,373.25,44.439998626708984,95.87999725341797,313.70001220703125,32.65999984741211
2016-09-06,974.25,969.0,978.0,965.5,316.75,371.0,44.83000183105469,94.81999969482422,317.1000061035156,32.7599983215332
2016-09-07,991.75,980.5,993.5,980.5,321.0,375.25,45.5,94.95999908447266,323.79998779296875,32.810001373291016
2016-09-08,992.0,994.5,999.25,987.75,327.0,377.0,47.619998931884766,95.02999877929688,325.1000061035156,32.939998626708984
2016-09-09,997.25,989.5,999.75,988.5,330.0,376.0,45.880001068115234,95.33999633789062,323.29998779296875,33.029998779296875
2016-09-12,984.5,990.25,1006.75,980.0,329.25,383.25,46.290000915527344,95.0999984741211,318.29998779296875,32.310001373291016
2016-09-13,968.25,982.5,982.5,968.25,319.25,374.75,44.900001525878906,95.62999725341797,310.3999938964844,31.549999237060547
2016-09-14,972.0,971.75,972.0,967.75,322.25,376.75,43.58000183105469,95.33000183105469,315.70001220703125,31.5
2016-09-15,950.5,943.0,953.0,941.25,330.0,399.5,43.90999984741211,95.29000091552734,308.6000061035156,32.040000915527344
2016-09-16,966.0,949.0,969.0,945.75,337.0,403.25,43.029998779296875,96.11000061035156,313.70001220703125,31.979999542236328
2016-09-19,972.5,970.5,981.25,966.25,337.25,404.0,43.29999923706055,95.83999633789062,311.8999938964844,32.83000183105469
2016-09-20,989.75,973.5,994.0,970.75,340.5,406.0,43.439998626708984,96.0199966430664,313.1000061035156,33.83000183105469
2016-09-21,975.5,988.25,990.25,971.5,340.0,407.75,45.34000015258789,95.66000366210938,308.70001220703125,33.400001525878906
2016-09-22,976.5,975.0,983.5,970.25,336.75,405.5,46.31999969482422,95.44999694824219,307.8999938964844,33.959999084472656
2016-09-23,955.0,975.0,976.25,952.5,336.5,404.75,44.47999954223633,95.4800033569336,303.29998779296875,33.310001373291016
2016-09-26,945.25,951.5,960.25,943.75,329.0,396.0,45.93000030517578,95.30999755859375,297.6000061035156,33.119998931884766
2016-09-27,952.5,946.75,953.5,934.0,331.75,404.0,44.66999816894531,95.44000244140625,299.29998779296875,33.119998931884766
2016-09-28,945.5,951.75,955.75,944.5,329.25,403.25,47.04999923706055,95.43000030517578,299.70001220703125,32.63999938964844
2016-09-29,950.25,947.0,957.25,946.0,329.25,399.0,47.83000183105469,95.54000091552734,297.8999938964844,33.09000015258789
2016-09-30,954.0,950.0,958.5,943.0,336.75,402.0,48.2400016784668,95.45999908447266,297.8999938964844,33.2400016784668
2016-10-03,973.0,952.5,975.0,946.5,346.0,395.5,48.810001373291016,95.75,305.8999938964844,33.04999923706055
2016-10-04,963.5,970.75,972.0,960.25,348.25,395.5,48.689998626708984,96.12000274658203,304.5,32.88999938964844
2016-10-05,956.75,963.5,967.5,950.5,347.75,405.0,49.83000183105469,96.12999725341797,303.79998779296875,32.65999984741211
2016-10-06,958.5,956.0,959.75,947.25,340.5,395.75,50.439998626708984,96.66000366210938,301.5,33.099998474121094
2016-10-07,956.75,958.75,973.25,955.25,339.75,394.75,49.810001373291016,96.5199966430664,298.6000061035156,33.11000061035156
2016-10-11,954.25,953.5,960.75,951.5,345.5,407.25,50.790000915527344,97.69999694824219,297.6000061035156,33.15999984741211
2016-10-12,945.5,953.0,971.25,943.25,337.0,396.75,50.18000030517578,97.97000122070312,294.5,33.13999938964844
2016-10-13,956.25,946.0,959.5,937.25,349.5,416.0,50.439998626708984,97.5199966430664,299.79998779296875,33.15999984741211
2016-10-14,962.5,955.5,974.25,952.0,354.25,421.0,50.349998474121094,98.0199966430664,299.79998779296875,34.150001525878906
2016-10-17,978.25,961.75,979.0,961.0,354.0,423.75,49.939998626708984,97.88999938964844,303.5,35.439998626708984
2016-10-18,972.5,977.5,987.0,971.5,353.75,420.0,50.290000915527344,97.9000015258789,303.3999938964844,35.06999969482422
2016-10-19,981.5,972.0,982.75,971.0,357.5,420.25,51.599998474121094,97.87000274658203,306.3999938964844,35.400001525878906
2016-10-20,975.5,981.25,989.75,973.25,351.0,417.0,50.43000030517578,98.31999969482422,304.6000061035156,35.04999923706055
2016-10-21,983.0,976.25,984.25,974.5,352.5,414.5,50.849998474121094,98.69999694824219,306.5,35.119998931884766
2016-10-24,992.0,982.75,999.75,980.0,348.25,402.5,50.52000045776367,98.66999816894531,307.29998779296875,35.9900016784668
2016-10-25,990.75,991.25,997.0,981.25,349.25,404.25,49.959999084472656,98.72000122070312,308.20001220703125,35.79999923706055
2016-10-26,1010.0,990.25,1011.0,988.75,354.0,411.5,49.18000030517578,98.62999725341797,319.1000061035156,35.720001220703125
2016-10-27,1014.25,1008.5,1020.0,1002.75,357.5,414.5,49.720001220703125,98.88999938964844,327.6000061035156,35.11000061035156
2016-10-28,1001.25,1013.0,1017.5,999.5,355.0,408.5,48.70000076293945,98.3499984741211,317.5,35.40999984741211
2016-10-31,1002.25,1002.0,1008.0,996.25,354.75,416.25,46.86000061035156,98.44999694824219,316.1000061035156,35.16999816894531
2016-11-01,984.25,1002.0,1005.25,983.0,349.0,414.25,46.66999816894531,97.69999694824219,309.5,34.849998474121094
2016-11-02,976.75,983.0,986.25,973.5,346.25,417.75,45.34000015258789,97.4000015258789,306.70001220703125,34.97999954223633
2016-11-03,979.75,976.5,984.5,976.5,348.0,412.0,44.65999984741211,97.16000366210938,306.3999938964844,35.099998474121094
2016-11-04,981.5,980.5,985.5,975.0,348.75,414.25,44.06999969482422,97.06999969482422,309.0,34.709999084472656
2016-11-07,989.25,981.75,992.0,981.75,346.25,410.0,44.88999938964844,97.77999877929688,311.8999938964844,34.790000915527344
2016-11-08,1001.75,989.5,1011.25,989.0,354.25,415.25,44.97999954223633,97.86000061035156,315.70001220703125,35.310001373291016
2016-11-09,982.0,1000.0,1007.0,975.5,340.75,406.75,45.27000045776367,98.5,311.3999938964844,34.310001373291016
2016-11-10,989.0,982.25,1007.75,982.0,343.5,404.75,44.65999984741211,98.79000091552734,311.3999938964844,34.77000045776367
2016-11-14,971.0,980.75,982.25,968.0,337.25,394.0,43.31999969482422,100.11000061035156,309.8999938964844,33.95000076293945
2016-11-15,989.5,985.5,992.75,978.75,341.5,399.0,45.810001373291016,100.19000244140625,310.1000061035156,34.209999084472656
2016-11-16,985.75,993.25,997.75,982.75,338.5,397.0,45.56999969482422,100.41000366210938,308.3999938964844,34.099998474121094
2016-11-17,989.5,985.25,993.75,981.0,342.0,403.0,45.41999816894531,100.88999938964844,311.5,33.70000076293945
2016-11-18,993.75,989.0,996.5,982.25,345.5,408.0,45.689998626708984,101.20999908447266,310.3999938964844,34.04999923706055
2016-11-21,1020.25,995.5,1021.5,995.5,349.75,410.25,47.4900016784668,101.05000305175781,319.70001220703125,34.63999938964844
2016-11-22,1030.0,1020.0,1033.25,1015.25,351.0,407.25,48.029998779296875,101.04000091552734,324.8999938964844,34.47999954223633
2016-11-23,1034.25,1030.25,1035.75,1017.25,350.75,401.5,47.959999084472656,101.69999694824219,316.3999938964844,36.849998474121094
2016-11-25,1046.0,1032.0,1046.75,1029.5,349.25,395.75,46.060001373291016,101.48999786376953,320.79998779296875,36.65999984741211
2016-11-28,1056.0,1043.25,1065.0,1042.5,348.5,389.5,47.08000183105469,101.33000183105469,325.8999938964844,36.709999084472656
2016-11-29,1042.5,1055.0,1058.75,1039.25,336.75,384.0,45.22999954223633,100.93000030517578,321.70001220703125,36.36000061035156
2016-11-30,1032.25,1043.0,1052.75,1031.25,336.75,380.5,49.439998626708984,101.5,316.3999938964844,36.790000915527344
2016-12-01,1029.75,1033.5,1040.0,1022.25,331.75,371.5,51.060001373291016,101.04000091552734,310.8999938964844,37.63999938964844
2016-12-02,1027.5,1033.0,1037.75,1026.5,337.5,387.5,51.68000030517578,100.7699966430664,310.70001220703125,37.5099983215332
2016-12-05,1043.5,1030.5,1049.75,1027.75,349.5,389.25,51.790000915527344,100.13999938964844,317.70001220703125,37.4900016784668
2016-12-06,1047.75,1042.5,1061.75,1039.0,351.0,389.5,50.93000030517578,100.48999786376953,320.20001220703125,37.619998931884766
2016-12-07,1049.0,1047.0,1053.0,1039.75,350.5,386.25,49.77000045776367,100.2300033569336,319.20001220703125,37.720001220703125
2016-12-08,1027.0,1049.0,1049.0,1023.5,346.5,390.75,50.84000015258789,101.06999969482422,312.3999938964844,37.04999923706055
2016-12-09,1037.5,1026.0,1039.5,1021.5,352.5,400.25,51.5,101.56999969482422,317.3999938964844,36.7400016784668
2016-12-12,1031.0,1041.75,1047.5,1026.5,354.5,401.25,52.83000183105469,100.95999908447266,314.79998779296875,36.7599983215332
2016-12-13,1028.0,1031.25,1038.75,1025.25,356.25,398.0,52.97999954223633,101.02999877929688,313.5,36.56999969482422
2016-12-14,1023.75,1027.25,1029.25,1020.75,351.75,391.5,51.040000915527344,102.0,311.1000061035156,36.72999954223633
2016-12-15,1029.0,1023.5,1038.5,1018.5,356.5,409.25,50.900001525878906,103.12999725341797,314.0,36.7400016784668
2016-12-16,1036.75,1029.25,1038.0,1023.0,356.25,409.25,51.900001525878906,102.94999694824219,317.1000061035156,36.7400016784668
2016-12-19,1021.5,1034.0,1039.0,1020.5,353.25,405.0,52.119998931884766,103.13999938964844,312.20001220703125,36.560001373291016
2016-12-20,1005.25,1021.25,1024.0,1004.0,350.25,403.25,52.22999954223633,103.29000091552734,308.79998779296875,36.060001373291016
2016-12-21,1006.75,1005.25,1012.25,1005.0,347.25,399.5,52.4900016784668,103.0199966430664,309.5,36.040000915527344
2016-12-22,994.5,1007.75,1008.75,993.5,347.25,397.0,52.95000076293945,103.08999633789062,309.29998779296875,34.790000915527344
2016-12-23,989.0,994.25,996.75,987.75,345.75,393.5,53.02000045776367,103.01000213623047,308.0,34.599998474121094
2016-12-27,1014.75,989.75,1015.25,989.25,355.0,409.5,53.900001525878906,103.0199966430664,317.79998779296875,35.119998931884766
2016-12-28,1006.75,1014.0,1018.75,1001.5,348.25,401.5,54.060001373291016,103.26000213623047,316.20001220703125,34.86000061035156
2016-12-29,1003.25,1006.5,1014.0,1002.0,349.75,404.75,53.77000045776367,102.68000030517578,314.79998779296875,34.52000045776367
2016-12-30,996.5,1003.5,1010.5,995.0,352.0,408.0,53.720001220703125,102.38999938964844,312.8999938964844,34.41999816894531
2017-01-03,986.75,996.0,1002.75,986.5,355.75,406.5,52.33000183105469,103.20999908447266,308.29998779296875,34.56999969482422
2017-01-04,1006.25,986.0,1006.5,984.0,359.75,418.5,53.2599983215332,102.69999694824219,315.29998779296875,34.97999954223633
2017-01-05,1003.5,1005.5,1006.0,998.25,361.25,426.25,53.7599983215332,101.5199966430664,314.3999938964844,35.0
2017-01-06,986.0,1003.5,1003.5,985.0,358.0,423.25,53.9900016784668,102.22000122070312,307.5,34.77000045776367
2017-01-09,996.5,986.25,996.75,986.0,360.0,427.25,51.959999084472656,101.93000030517578,309.79998779296875,35.27000045776367
2017-01-10,1005.5,993.75,1005.75,990.0,358.25,426.75,50.81999969482422,102.01000213623047,313.3999938964844,35.43000030517578
2017-01-11,1003.0,1004.5,1004.5,993.0,357.25,418.75,52.25,101.77999877929688,310.70001220703125,35.790000915527344
2017-01-12,1032.0,1002.75,1033.0,998.5,358.25,426.25,53.0099983215332,101.3499984741211,324.20001220703125,35.849998474121094
2017-01-13,1042.5,1029.5,1043.0,1025.5,358.5,426.0,52.369998931884766,101.18000030517578,332.5,35.369998931884766
2017-01-17,1069.25,1054.0,1075.5,1052.0,365.5,433.5,52.47999954223633,100.33000183105469,348.79998779296875,35.560001373291016
2017-01-18,1075.0,1068.0,1080.0,1062.5,365.0,431.0,51.08000183105469,100.93000030517578,351.1000061035156,35.58000183105469
2017-01-19,1070.25,1073.0,1077.25,1066.75,366.25,423.5,51.369998931884766,101.1500015258789,348.20001220703125,35.439998626708984
2017-01-20,1067.5,1070.0,1071.25,1060.0,369.75,428.25,52.41999816894531,100.73999786376953,348.70001220703125,35.150001525878906
2017-01-23,1057.75,1067.5,1069.75,1055.25,369.5,433.25,52.75,100.16000366210938,343.5,35.130001068115234
2017-01-24,1058.5,1059.75,1068.0,1051.25,363.25,426.75,53.18000030517578,100.3499984741211,343.0,35.279998779296875
2017-01-25,1055.25,1057.0,1060.0,1050.0,366.25,424.5,52.75,100.02999877929688,343.29998779296875,34.869998931884766
2017-01-26,1049.5,1055.5,1058.5,1045.5,363.75,427.0,53.779998779296875,100.37999725341797,342.3999938964844,34.470001220703125
2017-01-27,1049.25,1047.0,1052.0,1043.25,362.5,420.5,53.16999816894531,100.52999877929688,343.0,34.27000045776367
2017-01-30,1022.75,1044.0,1044.25,1019.25,357.75,414.0,52.630001068115234,100.43000030517578,334.3999938964844,33.61000061035156
2017-01-31,1024.5,1023.0,1026.5,1019.5,359.75,420.75,52.810001373291016,99.51000213623047,334.6000061035156,33.849998474121094
2017-02-01,1036.75,1024.5,1037.5,1017.0,368.25,433.75,53.880001068115234,99.63999938964844,336.0,34.310001373291016
2017-02-02,1037.25,1037.25,1041.75,1031.25,367.5,434.5,53.540000915527344,99.8499984741211,333.79998779296875,34.59000015258789
2017-02-03,1027.0,1036.75,1044.25,1026.25,365.25,430.25,53.83000183105469,99.87000274658203,331.6000061035156,33.86000061035156
2017-02-06,1036.0,1027.0,1042.5,1026.25,363.75,422.5,53.0099983215332,99.91000366210938,332.79998779296875,34.439998626708984
2017-02-07,1042.75,1038.25,1043.25,1032.0,368.5,430.75,52.16999816894531,100.26000213623047,335.8999938964844,34.29999923706055
2017-02-08,1058.75,1041.75,1059.75,1040.0,370.75,432.5,52.34000015258789,100.27999877929688,341.20001220703125,34.689998626708984
2017-02-09,1050.5,1057.0,1061.5,1045.0,369.5,443.5,53.0,100.6500015258789,338.3999938964844,34.66999816894531
2017-02-10,1059.0,1050.0,1063.5,1047.5,374.5,449.0,53.86000061035156,100.80000305175781,342.1000061035156,34.61000061035156
2017-02-13,1054.25,1059.25,1061.75,1050.5,375.5,452.25,52.93000030517578,100.95999908447266,343.20001220703125,34.16999816894531
2017-02-14,1045.0,1055.0,1056.0,1042.5,374.25,449.5,53.20000076293945,101.25,339.5,34.13999938964844
2017-02-15,1061.25,1045.25,1061.5,1040.25,378.75,454.75,53.11000061035156,101.18000030517578,346.8999938964844,33.939998626708984
2017-02-16,1043.75,1060.25,1062.75,1042.25,373.5,447.75,53.36000061035156,100.44000244140625,342.0,33.52000045776367
2017-02-17,1032.5,1043.0,1046.25,1031.0,368.25,441.0,53.400001525878906,100.94999694824219,339.6000061035156,32.88999938964844
2017-02-21,1026.25,1033.25,1044.5,1026.0,369.25,436.0,54.060001373291016,101.37000274658203,337.3999938964844,32.66999816894531
2017-02-22,1022.75,1027.25,1031.75,1022.25,371.0,441.25,53.59000015258789,101.33000183105469,335.0,32.720001220703125
2017-02-23,1011.5,1023.0,1027.0,1010.0,365.5,438.0,54.45000076293945,101.05000305175781,330.79998779296875,32.31999969482422
2017-02-24,1013.5,1012.25,1016.25,1009.25,364.0,431.25,53.9900016784668,101.08999633789062,331.29998779296875,32.38999938964844
2017-02-27,1011.0,1015.5,1018.5,1006.0,360.25,418.75,54.04999923706055,101.12999725341797,331.1000061035156,32.349998474121094
2017-02-28,1025.0,1013.0,1045.0,1012.5,366.75,424.75,54.0099983215332,101.12000274658203,332.6000061035156,33.689998626708984
2017-03-01,1041.25,1025.25,1041.5,1025.0,375.75,435.5,53.83000183105469,101.77999877929688,335.1000061035156,34.4900016784668
2017-03-02,1026.75,1039.75,1040.25,1022.0,372.75,432.0,52.61000061035156,102.19999694824219,330.79998779296875,33.880001068115234
2017-03-03,1027.0,1027.5,1030.25,1019.5,374.75,433.75,53.33000183105469,101.54000091552734,328.79998779296875,34.130001068115234
2017-03-06,1026.75,1027.5,1036.25,1026.0,372.75,438.25,53.20000076293945,101.63999938964844,329.20001220703125,34.02000045776367
